,day,price
235,2018-03-01,64.23
236,2018-03-02,64.26
237,2018-03-05,65.78
238,2018-03-06,65.67
239,2018-03-07,65.09
240,2018-03-08,63.87
241,2018-03-09,65.19
242,2018-03-12,64.53
243,2018-03-13,64.2
244,2018-03-14,63.61
245,2018-03-15,63.67
246,2018-03-16,64.68
247,2018-03-19,64.82
248,2018-03-20,66.0
249,2018-03-21,68.15
250,2018-03-22,68.98
251,2018-03-23,69.03
252,2018-03-26,68.81
253,2018-03-27,68.63
254,2018-03-28,68.13
255,2018-03-29,69.02
256,2018-03-30,.
257,2018-04-02,.
258,2018-04-03,69.02
259,2018-04-04,66.04
260,2018-04-05,66.54
261,2018-04-06,66.51
262,2018-04-09,68.19
263,2018-04-10,70.67
264,2018-04-11,72.74
265,2018-04-12,71.44
266,2018-04-13,73.18
267,2018-04-16,72.05
268,2018-04-17,71.71
269,2018-04-18,73.73
270,2018-04-19,74.85
271,2018-04-20,74.62
272,2018-04-23,74.54
273,2018-04-24,75.86
274,2018-04-25,73.79
275,2018-04-26,75.39
276,2018-04-27,75.33
277,2018-04-30,75.92
278,2018-05-01,74.85
279,2018-05-02,73.14
280,2018-05-03,73.45
281,2018-05-04,74.75
282,2018-05-07,.
283,2018-05-08,74.16
284,2018-05-09,77.6
285,2018-05-10,77.59
286,2018-05-11,77.37
287,2018-05-14,78.17
288,2018-05-15,78.94
289,2018-05-16,78.19
290,2018-05-17,80.09
291,2018-05-18,78.38
292,2018-05-21,78.34
293,2018-05-22,80.42
294,2018-05-23,78.69
295,2018-05-24,78.9
296,2018-05-25,76.6
297,2018-05-28,.
298,2018-05-29,74.51
299,2018-05-30,75.89
300,2018-05-31,76.45
301,2018-06-01,74.54
302,2018-06-04,73.41
303,2018-06-05,72.91
304,2018-06-06,73.23
305,2018-06-07,75.23
306,2018-06-08,75.11
307,2018-06-11,74.58
308,2018-06-12,74.86
309,2018-06-13,75.07
310,2018-06-14,74.77
311,2018-06-15,72.02
312,2018-06-18,74.87
313,2018-06-19,74.92
314,2018-06-20,74.25
315,2018-06-21,72.87
316,2018-06-22,73.67
317,2018-06-25,72.82
318,2018-06-26,73.58
319,2018-06-27,76.09
320,2018-06-28,76.26
321,2018-06-29,77.44
322,2018-07-02,76.71
323,2018-07-03,75.87
324,2018-07-04,76.99
325,2018-07-05,77.09
326,2018-07-06,74.98
327,2018-07-09,77.08
328,2018-07-10,77.8
329,2018-07-11,75.35
330,2018-07-12,72.11
331,2018-07-13,74.11
332,2018-07-16,71.03
333,2018-07-17,70.87
334,2018-07-18,70.52
335,2018-07-19,71.94
336,2018-07-20,71.99
337,2018-07-23,73.45
338,2018-07-24,73.53
339,2018-07-25,73.67
340,2018-07-26,74.51
341,2018-07-27,74.84
342,2018-07-30,74.99
343,2018-07-31,74.16
344,2018-08-01,72.28
345,2018-08-02,72.95
346,2018-08-03,72.48
347,2018-08-06,72.51
348,2018-08-07,72.31
349,2018-08-08,70.71
350,2018-08-09,70.55
351,2018-08-10,71.0
352,2018-08-13,70.62
353,2018-08-14,70.77
354,2018-08-15,68.38
355,2018-08-16,69.21
356,2018-08-17,70.14
357,2018-08-20,71.11
358,2018-08-21,71.65
359,2018-08-22,72.96
360,2018-08-23,73.73
361,2018-08-24,74.41
362,2018-08-27,74.41
363,2018-08-28,75.91
364,2018-08-29,76.07
365,2018-08-30,77.05
366,2018-08-31,76.94
367,2018-09-03,77.81
368,2018-09-04,77.51
369,2018-09-05,76.68
370,2018-09-06,75.67
371,2018-09-07,75.55
372,2018-09-10,76.77
373,2018-09-11,78.22
374,2018-09-12,80.02
375,2018-09-13,77.66
376,2018-09-14,77.87
377,2018-09-17,78.22
378,2018-09-18,79.25
379,2018-09-19,79.43
380,2018-09-20,79.03
381,2018-09-21,78.9
382,2018-09-24,80.89
383,2018-09-25,82.21
384,2018-09-26,81.87
385,2018-09-27,81.54
386,2018-09-28,82.72
387,2018-10-01,84.94
388,2018-10-02,85.63
389,2018-10-03,85.45
390,2018-10-04,86.07
391,2018-10-05,85.12
392,2018-10-08,84.22
393,2018-10-09,85.16
394,2018-10-10,83.82
395,2018-10-11,81.35
396,2018-10-12,80.71
397,2018-10-15,80.91
398,2018-10-16,80.53
399,2018-10-17,79.91
400,2018-10-18,80.3
401,2018-10-19,80.38
402,2018-10-22,80.45
403,2018-10-23,78.67
404,2018-10-24,77.34
405,2018-10-25,77.3
406,2018-10-26,77.4
407,2018-10-29,77.56
408,2018-10-30,75.68
409,2018-10-31,74.84
410,2018-11-01,71.25
411,2018-11-02,71.11
412,2018-11-05,72.68
413,2018-11-06,70.64
414,2018-11-07,70.1
415,2018-11-08,69.29
416,2018-11-09,69.01
417,2018-11-12,69.81
418,2018-11-13,65.45
419,2018-11-14,64.88
420,2018-11-15,65.61
421,2018-11-16,65.29
422,2018-11-19,64.14
423,2018-11-20,61.5
424,2018-11-21,61.65
425,2018-11-22,61.11
426,2018-11-23,57.69
427,2018-11-26,59.7
428,2018-11-27,59.58
429,2018-11-28,57.97
430,2018-11-29,58.29
431,2018-11-30,57.71
432,2018-12-03,60.17
433,2018-12-04,61.22
434,2018-12-05,61.4
435,2018-12-06,57.83
436,2018-12-07,61.71
437,2018-12-10,60.29
438,2018-12-11,59.73
439,2018-12-12,59.94
440,2018-12-13,59.03
441,2018-12-14,58.56
442,2018-12-17,57.59
443,2018-12-18,55.26
444,2018-12-19,55.6
445,2018-12-20,52.84
446,2018-12-21,51.93
447,2018-12-24,.
448,2018-12-25,.
449,2018-12-26,.
450,2018-12-27,51.49
451,2018-12-28,50.57
452,2018-12-31,.
453,2019-01-01,.
454,2019-01-02,54.06
455,2019-01-03,53.23
456,2019-01-04,55.64
457,2019-01-07,57.1
458,2019-01-08,56.91
459,2019-01-09,59.46
460,2019-01-10,60.47
461,2019-01-11,59.24
462,2019-01-14,58.8
463,2019-01-15,58.65
464,2019-01-16,59.81
465,2019-01-17,59.85
466,2019-01-18,62.04
467,2019-01-21,62.18
468,2019-01-22,60.9
469,2019-01-23,61.05
470,2019-01-24,61.09
471,2019-01-25,61.49
472,2019-01-28,59.71
473,2019-01-29,60.98
474,2019-01-30,61.89
475,2019-01-31,62.46
476,2019-02-01,61.86
477,2019-02-04,62.26
478,2019-02-05,61.67
479,2019-02-06,62.22
480,2019-02-07,61.01
481,2019-02-08,61.37
482,2019-02-11,61.3
483,2019-02-12,62.58
484,2019-02-13,63.27
485,2019-02-14,64.0
486,2019-02-15,65.65
487,2019-02-18,66.41
488,2019-02-19,65.86
489,2019-02-20,66.82
490,2019-02-21,66.91
491,2019-02-22,66.91
492,2019-02-25,64.02
493,2019-02-26,64.51
494,2019-02-27,65.55
495,2019-02-28,65.03
496,2019-03-01,63.71
497,2019-03-04,64.44
498,2019-03-05,64.24
499,2019-03-06,64.51
500,2019-03-07,64.82
