,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA)
553,2018-07-25 17:00:00,16.0,500,600
554,2018-07-25 18:00:00,6.4,500,600
555,2018-07-25 19:00:00,6.4,500,600
556,2018-07-25 20:00:00,6.4,500,600
557,2018-07-25 21:00:00,4.8,500,600
558,2018-07-25 22:00:00,6.4,500,600
559,2018-07-25 23:00:00,6.4,500,600
560,2018-07-26 00:00:00,6.4,500,600
561,2018-07-26 01:00:00,8.0,500,600
562,2018-07-26 02:00:00,8.0,500,600
563,2018-07-26 03:00:00,6.4,500,600
564,2018-07-26 04:00:00,8.0,500,600
565,2018-07-26 05:00:00,6.4,500,600
566,2018-07-26 06:00:00,4.8,500,600
567,2018-07-26 07:00:00,6.4,500,600
568,2018-07-26 08:00:00,25.6,500,600
569,2018-07-26 09:00:00,20.8,500,600
570,2018-07-26 10:00:00,20.8,500,600
571,2018-07-26 11:00:00,20.8,500,600
572,2018-07-26 12:00:00,22.4,500,600
573,2018-07-26 13:00:00,20.8,500,600
574,2018-07-26 14:00:00,20.8,500,600
575,2018-07-26 15:00:00,20.8,500,600
576,2018-07-26 16:00:00,20.8,500,600
577,2018-07-26 17:00:00,20.8,500,600
578,2018-07-26 18:00:00,11.2,500,600
579,2018-07-26 19:00:00,8.0,500,600
580,2018-07-26 20:00:00,8.0,500,600
581,2018-07-26 21:00:00,6.4,500,600
582,2018-07-26 22:00:00,6.4,500,600
583,2018-07-26 23:00:00,6.4,500,600
584,2018-07-27 00:00:00,8.0,500,600
585,2018-07-27 01:00:00,8.0,500,600
586,2018-07-27 02:00:00,8.0,500,600
587,2018-07-27 03:00:00,6.4,500,600
588,2018-07-27 04:00:00,8.0,500,600
589,2018-07-27 05:00:00,8.0,500,600
590,2018-07-27 06:00:00,4.8,500,600
591,2018-07-27 07:00:00,6.4,500,600
592,2018-07-27 08:00:00,20.8,500,600
593,2018-07-27 09:00:00,20.8,500,600
594,2018-07-27 10:00:00,20.8,500,600
595,2018-07-27 11:00:00,20.8,500,600
596,2018-07-27 12:00:00,20.8,500,600
597,2018-07-27 13:00:00,20.8,500,600
598,2018-07-27 14:00:00,22.4,500,600
599,2018-07-27 15:00:00,20.8,500,600
600,2018-07-27 16:00:00,20.8,500,600
