,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA)
183,2018-01-08 15:00:00,67.2,315,378
184,2018-01-08 16:00:00,73.6,315,378
185,2018-01-08 17:00:00,81.6,315,378
186,2018-01-08 18:00:00,84.8,315,378
187,2018-01-08 19:00:00,91.2,315,378
188,2018-01-08 20:00:00,89.6,315,378
189,2018-01-08 21:00:00,88.0,315,378
190,2018-01-08 22:00:00,91.2,315,378
191,2018-01-08 23:00:00,83.2,315,378
192,2018-01-09 00:00:00,78.4,315,378
193,2018-01-09 01:00:00,78.4,315,378
194,2018-01-09 02:00:00,75.2,315,378
195,2018-01-09 03:00:00,67.2,315,378
196,2018-01-09 04:00:00,68.8,315,378
197,2018-01-09 05:00:00,70.4,315,378
198,2018-01-09 06:00:00,75.2,315,378
199,2018-01-09 07:00:00,73.6,315,378
200,2018-01-09 08:00:00,75.2,315,378
201,2018-01-09 09:00:00,83.2,315,378
202,2018-01-09 10:00:00,81.6,315,378
203,2018-01-09 11:00:00,86.4,315,378
204,2018-01-09 12:00:00,81.6,315,378
205,2018-01-09 13:00:00,80.0,315,378
206,2018-01-09 14:00:00,78.4,315,378
207,2018-01-09 15:00:00,84.8,315,378
208,2018-01-09 16:00:00,81.6,315,378
209,2018-01-09 17:00:00,92.8,315,378
210,2018-01-09 18:00:00,92.8,315,378
211,2018-01-09 19:00:00,97.6,315,378
212,2018-01-09 20:00:00,94.4,315,378
213,2018-01-09 21:00:00,92.8,315,378
214,2018-01-09 22:00:00,86.4,315,378
215,2018-01-09 23:00:00,83.2,315,378
216,2018-01-10 00:00:00,75.2,315,378
217,2018-01-10 01:00:00,70.4,315,378
218,2018-01-10 02:00:00,72.0,315,378
219,2018-01-10 03:00:00,73.6,315,378
220,2018-01-10 04:00:00,70.4,315,378
221,2018-01-10 05:00:00,75.2,315,378
222,2018-01-10 06:00:00,70.4,315,378
223,2018-01-10 07:00:00,76.8,315,378
224,2018-01-10 08:00:00,84.8,315,378
225,2018-01-10 09:00:00,83.2,315,378
226,2018-01-10 10:00:00,83.2,315,378
227,2018-01-10 11:00:00,73.6,315,378
228,2018-01-10 12:00:00,81.6,315,378
229,2018-01-10 13:00:00,78.4,315,378
230,2018-01-10 14:00:00,80.0,315,378
231,2018-01-10 15:00:00,78.4,315,378
232,2018-01-10 16:00:00,80.0,315,378
233,2018-01-10 17:00:00,96.0,315,378
234,2018-01-10 18:00:00,91.2,315,378
235,2018-01-10 19:00:00,89.6,315,378
236,2018-01-10 20:00:00,83.2,315,378
237,2018-01-10 21:00:00,88.0,315,378
238,2018-01-10 22:00:00,81.6,315,378
239,2018-01-10 23:00:00,78.4,315,378
240,2018-01-11 00:00:00,78.4,315,378
241,2018-01-11 01:00:00,70.4,315,378
242,2018-01-11 02:00:00,70.4,315,378
243,2018-01-11 03:00:00,72.0,315,378
244,2018-01-11 04:00:00,67.2,315,378
245,2018-01-11 05:00:00,68.8,315,378
246,2018-01-11 06:00:00,75.2,315,378
247,2018-01-11 07:00:00,70.4,315,378
248,2018-01-11 08:00:00,78.4,315,378
249,2018-01-11 09:00:00,76.8,315,378
250,2018-01-11 10:00:00,80.0,315,378
251,2018-01-11 11:00:00,72.0,315,378
252,2018-01-11 12:00:00,75.2,315,378
253,2018-01-11 13:00:00,72.0,315,378
254,2018-01-11 14:00:00,68.8,315,378
255,2018-01-11 15:00:00,68.8,315,378
256,2018-01-11 16:00:00,78.4,315,378
257,2018-01-11 17:00:00,73.6,315,378
258,2018-01-11 18:00:00,80.0,315,378
259,2018-01-11 19:00:00,83.2,315,378
260,2018-01-11 20:00:00,88.0,315,378
261,2018-01-11 21:00:00,84.8,315,378
262,2018-01-11 22:00:00,80.0,315,378
263,2018-01-11 23:00:00,68.8,315,378
264,2018-01-12 00:00:00,72.0,315,378
265,2018-01-12 01:00:00,64.0,315,378
266,2018-01-12 02:00:00,67.2,315,378
267,2018-01-12 03:00:00,67.2,315,378
268,2018-01-12 04:00:00,65.6,315,378
269,2018-01-12 05:00:00,68.8,315,378
270,2018-01-12 06:00:00,70.4,315,378
271,2018-01-12 07:00:00,75.2,315,378
272,2018-01-12 08:00:00,73.6,315,378
273,2018-01-12 09:00:00,78.4,315,378
274,2018-01-12 10:00:00,76.8,315,378
275,2018-01-12 11:00:00,75.2,315,378
276,2018-01-12 12:00:00,73.6,315,378
277,2018-01-12 13:00:00,73.6,315,378
278,2018-01-12 14:00:00,73.6,315,378
279,2018-01-12 15:00:00,70.4,315,378
280,2018-01-12 16:00:00,80.0,315,378
281,2018-01-12 17:00:00,86.4,315,378
282,2018-01-12 18:00:00,84.8,315,378
283,2018-01-12 19:00:00,94.4,315,378
284,2018-01-12 20:00:00,86.4,315,378
285,2018-01-12 21:00:00,81.6,315,378
286,2018-01-12 22:00:00,72.0,315,378
287,2018-01-12 23:00:00,72.0,315,378
288,2018-01-13 00:00:00,78.4,315,378
289,2018-01-13 01:00:00,70.4,315,378
290,2018-01-13 02:00:00,72.0,315,378
291,2018-01-13 03:00:00,67.2,315,378
292,2018-01-13 04:00:00,65.6,315,378
293,2018-01-13 05:00:00,65.6,315,378
294,2018-01-13 06:00:00,65.6,315,378
295,2018-01-13 07:00:00,68.8,315,378
296,2018-01-13 08:00:00,68.8,315,378
297,2018-01-13 09:00:00,75.2,315,378
298,2018-01-13 10:00:00,78.4,315,378
299,2018-01-13 11:00:00,76.8,315,378
300,2018-01-13 12:00:00,78.4,315,378
301,2018-01-13 13:00:00,78.4,315,378
302,2018-01-13 14:00:00,73.6,315,378
303,2018-01-13 15:00:00,70.4,315,378
304,2018-01-13 16:00:00,78.4,315,378
305,2018-01-13 17:00:00,81.6,315,378
306,2018-01-13 18:00:00,83.2,315,378
307,2018-01-13 19:00:00,84.8,315,378
308,2018-01-13 20:00:00,75.2,315,378
309,2018-01-13 21:00:00,76.8,315,378
310,2018-01-13 22:00:00,76.8,315,378
311,2018-01-13 23:00:00,78.4,315,378
312,2018-01-14 00:00:00,75.2,315,378
313,2018-01-14 01:00:00,67.2,315,378
314,2018-01-14 02:00:00,65.6,315,378
315,2018-01-14 03:00:00,62.4,315,378
316,2018-01-14 04:00:00,67.2,315,378
317,2018-01-14 05:00:00,65.6,315,378
318,2018-01-14 06:00:00,68.8,315,378
319,2018-01-14 07:00:00,70.4,315,378
320,2018-01-14 08:00:00,73.6,315,378
321,2018-01-14 09:00:00,75.2,315,378
322,2018-01-14 10:00:00,78.4,315,378
323,2018-01-14 11:00:00,72.0,315,378
324,2018-01-14 12:00:00,70.4,315,378
325,2018-01-14 13:00:00,75.2,315,378
326,2018-01-14 14:00:00,81.6,315,378
327,2018-01-14 15:00:00,84.8,315,378
328,2018-01-14 16:00:00,91.2,315,378
329,2018-01-14 17:00:00,92.8,315,378
330,2018-01-14 18:00:00,96.0,315,378
331,2018-01-14 19:00:00,86.4,315,378
332,2018-01-14 20:00:00,84.8,315,378
333,2018-01-14 21:00:00,80.0,315,378
334,2018-01-14 22:00:00,75.2,315,378
335,2018-01-14 23:00:00,72.0,315,378
336,2018-01-15 00:00:00,70.4,315,378
337,2018-01-15 01:00:00,68.8,315,378
338,2018-01-15 02:00:00,65.6,315,378
339,2018-01-15 03:00:00,65.6,315,378
340,2018-01-15 04:00:00,67.2,315,378
341,2018-01-15 05:00:00,64.0,315,378
342,2018-01-15 06:00:00,67.2,315,378
343,2018-01-15 07:00:00,70.4,315,378
344,2018-01-15 08:00:00,72.0,315,378
345,2018-01-15 09:00:00,83.2,315,378
346,2018-01-15 10:00:00,73.6,315,378
347,2018-01-15 11:00:00,73.6,315,378
348,2018-01-15 12:00:00,70.4,315,378
349,2018-01-15 13:00:00,64.0,315,378
350,2018-01-15 14:00:00,73.6,315,378
351,2018-01-15 15:00:00,73.6,315,378
352,2018-01-15 16:00:00,72.0,315,378
353,2018-01-15 17:00:00,78.4,315,378
354,2018-01-15 18:00:00,84.8,315,378
355,2018-01-15 19:00:00,88.0,315,378
356,2018-01-15 20:00:00,88.0,315,378
357,2018-01-15 21:00:00,86.4,315,378
358,2018-01-15 22:00:00,84.8,315,378
359,2018-01-15 23:00:00,81.6,315,378
360,2018-01-16 00:00:00,70.4,315,378
361,2018-01-16 01:00:00,64.0,315,378
362,2018-01-16 02:00:00,64.0,315,378
363,2018-01-16 03:00:00,65.6,315,378
364,2018-01-16 04:00:00,65.6,315,378
365,2018-01-16 05:00:00,70.4,315,378
366,2018-01-16 06:00:00,67.2,315,378
367,2018-01-16 07:00:00,67.2,315,378
368,2018-01-16 08:00:00,73.6,315,378
369,2018-01-16 09:00:00,76.8,315,378
370,2018-01-16 10:00:00,75.2,315,378
371,2018-01-16 11:00:00,68.8,315,378
372,2018-01-16 12:00:00,70.4,315,378
373,2018-01-16 13:00:00,70.4,315,378
374,2018-01-16 14:00:00,72.0,315,378
375,2018-01-16 15:00:00,70.4,315,378
376,2018-01-16 16:00:00,76.8,315,378
377,2018-01-16 17:00:00,81.6,315,378
378,2018-01-16 18:00:00,84.8,315,378
379,2018-01-16 19:00:00,89.6,315,378
380,2018-01-16 20:00:00,92.8,315,378
381,2018-01-16 21:00:00,92.8,315,378
382,2018-01-16 22:00:00,83.2,315,378
383,2018-01-16 23:00:00,76.8,315,378
384,2018-01-17 00:00:00,70.4,315,378
385,2018-01-17 01:00:00,68.8,315,378
386,2018-01-17 02:00:00,67.2,315,378
387,2018-01-17 03:00:00,59.2,315,378
388,2018-01-17 04:00:00,67.2,315,378
389,2018-01-17 05:00:00,67.2,315,378
390,2018-01-17 06:00:00,72.0,315,378
391,2018-01-17 07:00:00,73.6,315,378
392,2018-01-17 08:00:00,72.0,315,378
393,2018-01-17 09:00:00,78.4,315,378
394,2018-01-17 10:00:00,72.0,315,378
395,2018-01-17 11:00:00,75.2,315,378
396,2018-01-17 12:00:00,81.6,315,378
