,price_oil,price_el
2019-01-23,524.27905,661.26794
2019-01-24,523.83453,763.13837
2019-01-25,526.5881,626.6625
2019-01-26,526.5881,523.54877
2019-01-27,526.5881,507.2121
2019-01-28,509.01584,540.32916
2019-01-29,518.2934,598.8237
2019-01-30,526.03406,535.03375
2019-01-31,525.37604,529.0425
2019-02-01,521.85095,522.45795
2019-02-02,521.85095,494.5754
2019-02-03,521.85095,488.1029
2019-02-04,526.0472,505.23666
2019-02-05,522.37573,507.15625
2019-02-06,528.6024,512.9975
2019-02-07,522.72754,483.87543
2019-02-08,527.44446,482.7125
2019-02-09,527.44446,467.27832
2019-02-10,527.44446,464.21667
2019-02-11,531.44037,467.15625
2019-02-12,544.02673,478.99875
2019-02-13,546.2542,454.97043
2019-02-14,552.2048,441.33124
2019-02-15,569.61224,429.4225
2019-02-16,569.61224,414.37958
2019-02-17,569.61224,419.12167
2019-02-18,572.8394,431.62582
2019-02-19,567.4169,420.5175
2019-02-20,572.77435,429.46085
2019-02-21,576.4029,428.37332
2019-02-22,576.2557,427.15457
2019-02-23,576.2557,400.92584
2019-02-24,576.2557,406.34082
2019-02-25,549.2084,411.15958
2019-02-26,556.16003,411.74832
2019-02-27,561.24567,410.40875
2019-02-28,556.29266,410.1196
2019-03-01,545.0709,436.9846
2019-03-02,545.0709,420.4025
2019-03-03,545.0709,404.96793
2019-03-04,553.5138,415.74582
2019-03-05,556.84515,433.5779
2019-03-06,559.7984,440.47626
2019-03-07,561.55505,435.2121
2019-03-08,578.57623,419.1121
2019-03-09,578.57623,429.23834
2019-03-10,578.57623,424.66125
2019-03-11,565.30634,446.30835
2019-03-12,565.2613,438.05292
2019-03-13,569.46094,414.77
2019-03-14,566.792,414.53583
2019-03-15,565.8024,416.52625
2019-03-16,565.8024,399.1954
2019-03-17,565.8024,391.13583
2019-03-18,567.6581,409.2575
2019-03-19,574.2032,447.6196
2019-03-20,583.08704,406.6875
2019-03-21,580.4681,389.4896
2019-03-22,559.5274,391.865
2019-03-23,559.5274,368.51416
2019-03-24,559.5274,370.8346
2019-03-25,576.02026,387.87958
2019-03-26,575.7523,390.41916
2019-03-27,578.3614,391.225
2019-03-28,571.8299,394.82834
2019-03-29,585.99133,385.00458
2019-03-30,585.99133,371.345
2019-03-31,585.99133,373.4775
2019-04-01,593.4317,387.06125
2019-04-02,599.5058,372.3571
2019-04-03,593.2335,389.05084
2019-04-04,598.3814,381.35626
2019-04-05,601.06934,383.54
2019-04-06,601.06934,386.37958
2019-04-07,601.06934,386.0196
2019-04-08,611.6747,401.96582
2019-04-09,606.97955,412.415
2019-04-10,609.9796,423.84958
2019-04-11,605.46533,449.79626
2019-04-12,610.4635,444.70334
2019-04-13,610.4635,423.15042
2019-04-14,610.4635,414.20667
2019-04-15,602.1537,434.24875
2019-04-16,600.5755,430.75458
2019-04-17,602.6412,421.51834
2019-04-18,598.99854,417.4854
2019-04-19,598.99854,404.95792
2019-04-20,598.99854,401.02292
2019-04-21,598.99854,396.95
2019-04-22,598.99854,384.11667
2019-04-23,633.1779,390.62292
2019-04-24,631.1888,381.81
2019-04-25,647.42914,389.46375
2019-04-26,615.269,398.1496
2019-04-27,615.269,324.86835
2019-04-28,615.269,331.0196
2019-04-29,618.3035,389.5775
2019-04-30,625.04987,382.03833
2019-05-01,623.49133,348.3304
2019-05-02,612.8348,368.68542
2019-05-03,630.92236,389.0125
2019-05-04,630.92236,401.85916
2019-05-05,630.92236,403.36374
2019-05-06,630.1093,424.75082
2019-05-07,618.0442,428.63208
2019-05-08,620.6797,419.13043
2019-05-09,619.4121,429.6029
2019-05-10,627.8298,424.80542
2019-05-11,627.8298,412.905
2019-05-12,627.8298,411.59793
2019-05-13,632.6212,420.27957
2019-05-14,634.05005,421.80917
2019-05-15,639.46436,415.4271
2019-05-16,651.3691,391.90793
2019-05-17,644.742,388.91
2019-05-18,644.742,371.11334
2019-05-19,644.742,362.9271
2019-05-20,642.3226,405.31583
2019-05-21,641.6678,393.0846
2019-05-22,630.92096,378.95792
2019-05-23,599.39294,376.29498
2019-05-24,593.7713,374.77332
2019-05-25,593.7713,345.72626
2019-05-26,593.7713,290.9829
2019-05-27,590.7258,359.03168
2019-05-28,610.2108,369.14417
2019-05-29,616.85675,367.12833
2019-05-30,607.33844,317.20416
2019-05-31,586.5755,349.96582
2019-06-01,586.5755,332.61792
2019-06-02,586.5755,304.1446
2019-06-03,553.1111,333.76752
2019-06-04,552.044,341.4129
2019-06-05,540.096,317.01126
2019-06-06,547.5615,299.57
2019-06-07,557.40717,295.5821
2019-06-08,557.40717,145.79916
2019-06-09,557.40717,270.04874
2019-06-10,559.23334,295.60126
2019-06-11,551.4529,313.49625
2019-06-12,532.27374,322.0896
2019-06-13,547.1505,298.93875
2019-06-14,547.8169,307.96957
2019-06-15,547.8169,270.55124
2019-06-16,547.8169,274.00375
2019-06-17,545.37933,309.88168
2019-06-18,553.0455,315.03668
2019-06-19,549.36554,320.74582
2019-06-20,564.8126,299.19876
2019-06-21,565.50793,302.65417
2019-06-22,565.50793,300.2375
2019-06-23,565.50793,263.2679
2019-06-24,552.9087,303.4571
2019-06-25,562.73535,306.57166
2019-06-26,570.0366,308.8721
2019-06-27,568.3178,276.255
2019-06-28,574.6087,301.05832
2019-06-29,574.6087,282.87668
2019-06-30,574.6087,224.7525
2019-07-01,555.4853,267.1746
2019-07-02,537.1341,263.90207
2019-07-03,545.4432,281.4896
2019-07-04,542.7613,277.80374
2019-07-05,548.51135,280.52917
2019-07-06,548.51135,275.66168
2019-07-07,548.51135,269.68457
2019-07-08,559.9488,302.75168
2019-07-09,555.8092,318.6354
2019-07-10,575.0442,322.75418
2019-07-11,579.09314,340.65082
2019-07-12,568.1313,353.57166
2019-07-13,568.1313,351.42917
2019-07-14,568.1313,349.6225
2019-07-15,570.44946,364.99918
2019-07-16,562.7274,360.78876
2019-07-17,547.1036,372.0729
2019-07-18,521.8015,371.40292
2019-07-19,521.6845,367.42334
2019-07-20,521.6845,348.02707
2019-07-21,521.6845,338.0375
2019-07-22,531.3628,358.28168
2019-07-23,538.06805,363.09125
2019-07-24,553.76996,372.73126
2019-07-25,548.9457,377.90625
2019-07-26,542.07166,372.99707
2019-07-27,542.07166,358.37958
2019-07-28,542.07166,343.55374
2019-07-29,543.3183,380.8204
2019-07-30,545.3047,386.9925
2019-07-31,560.7406,379.9154
2019-08-01,558.60236,387.5546
2019-08-02,543.56464,391.93668
2019-08-03,543.56464,386.46417
2019-08-04,543.56464,388.47876
2019-08-05,529.8522,398.89624
2019-08-06,521.94183,397.55875
2019-08-07,490.69147,390.69376
2019-08-08,502.7429,373.54752
2019-08-09,511.43063,372.31207
2019-08-10,511.43063,340.53668
2019-08-11,511.43063,286.2621
2019-08-12,507.4401,357.13916
2019-08-13,534.51764,361.56293
2019-08-14,514.7457,344.44916
2019-08-15,513.79425,325.47208
2019-08-16,532.0915,333.59793
2019-08-17,532.0915,295.42667
2019-08-18,532.0915,331.5771
2019-08-19,538.5644,331.91833
2019-08-20,530.2783,344.67917
2019-08-21,544.9031,340.7425
2019-08-22,535.83185,325.27667
2019-08-23,526.63995,321.08875
2019-08-24,526.63995,317.16458
2019-08-25,526.63995,320.94415
2019-08-26,526.3937,340.90292
2019-08-27,526.673,349.99625
2019-08-28,544.6923,338.75833
2019-08-29,549.05444,324.54166
2019-08-30,556.2087,310.60126
2019-08-31,556.2087,296.33792
2019-09-01,556.2087,296.35834
2019-09-02,534.0814,308.29666
2019-09-03,528.982,317.2975
2019-09-04,550.71954,315.24542
2019-09-05,566.34406,299.98917
2019-09-06,551.05426,295.35916
2019-09-07,551.05426,297.34665
2019-09-08,551.05426,310.40958
2019-09-09,573.56793,322.2575
2019-09-10,578.31793,312.28418
2019-09-11,563.6572,293.93457
2019-09-12,543.81415,290.32126
2019-09-13,549.58405,291.43793
2019-09-14,549.58405,278.7979
2019-09-15,549.58405,213.95876
2019-09-16,612.31793,254.32167
2019-09-17,588.67676,286.0221
2019-09-18,575.46625,280.28375
2019-09-19,574.9604,288.09793
2019-09-20,585.08044,289.07666
2019-09-21,585.08044,297.55542
