,price_in_nok
2018-07-02,627.1196274662017
2018-07-03,619.1902113533021
2018-07-04,624.1348286533355
2018-07-05,623.3266157054901
2018-07-06,602.1119045257568
2018-07-07,602.1119045257568
2018-07-08,602.1119045257568
2018-07-09,618.1584798812866
2018-07-10,622.2521647453308
2018-07-11,606.4845886707305
2018-07-12,583.6295156955719
2018-07-13,602.1660131931305
2018-07-14,602.1660131931305
2018-07-15,602.1660131931305
2018-07-16,575.868617773056
2018-07-17,573.4800405406952
2018-07-18,576.8818005752563
2018-07-19,590.6418102836609
2018-07-20,591.4986465454101
2018-07-21,591.4986465454101
2018-07-22,591.4986465454101
2018-07-23,600.835662317276
2018-07-24,604.4166196346283
2018-07-25,601.8617746067047
2018-07-26,606.4145020961762
2018-07-27,612.3184095001221
2018-07-28,612.3184095001221
2018-07-29,612.3184095001221
2018-07-30,614.1905960845946
2018-07-31,602.6761017608642
2018-08-01,590.795060043335
2018-08-02,598.0951614379883
2018-08-03,597.7788304138184
2018-08-04,597.7788304138184
2018-08-05,597.7788304138184
2018-08-06,598.9326165962219
2018-08-07,594.6413032054901
2018-08-08,579.1431927394866
2018-08-09,580.0268529891968
2018-08-10,592.587308883667
2018-08-11,592.587308883667
2018-08-12,592.587308883667
2018-08-13,593.3068406295777
2018-08-14,591.0144313430786
2018-08-15,576.0126287460326
2018-08-16,583.2534643650055
2018-08-17,593.6158445549012
2018-08-18,593.6158445549012
2018-08-19,593.6158445549012
2018-08-20,601.2066297626495
2018-08-21,603.9163870334626
2018-08-22,613.5352111816405
2018-08-23,616.2132466506959
2018-08-24,622.737322359085
2018-08-25,622.737322359085
2018-08-26,622.737322359085
2018-08-27,622.3652638435364
2018-08-28,631.7154569149017
2018-08-29,636.5081308841704
2018-08-30,642.9360512733459
2018-08-31,641.6180495262146
2018-09-01,641.6180495262146
2018-09-02,641.6180495262146
2018-09-03,652.2345096874237
2018-09-04,649.7895696353913
2018-09-05,644.9554993057252
2018-09-06,636.7025010681152
2018-09-07,635.262153673172
2018-09-08,635.262153673172
2018-09-09,635.262153673172
2018-09-10,646.0809732627869
2018-09-11,653.8488287353515
2018-09-12,667.5748414993286
2018-09-13,641.5337560844421
2018-09-14,639.8343978691101
2018-09-15,639.8343978691101
2018-09-16,639.8343978691101
2018-09-17,645.4714286613464
2018-09-18,646.4105498790741
2018-09-19,647.688074245453
2018-09-20,644.5370359230042
2018-09-21,642.238126373291
2018-09-22,642.238126373291
2018-09-23,642.238126373291
2018-09-24,659.3667146492004
2018-09-25,669.1236493110656
2018-09-26,664.7434781169892
2018-09-27,662.5695777511597
2018-09-28,674.631198425293
2018-09-29,674.631198425293
2018-09-30,674.631198425293
2018-10-01,693.6115655708313
2018-10-02,700.8986535263061
2018-10-03,697.2891001701355
2018-10-04,708.4851767635345
2018-10-05,701.8484844970703
2018-10-06,701.8484844970703
2018-10-07,701.8484844970703
2018-10-08,696.2046698379517
2018-10-09,705.5165579605102
2018-10-10,689.1680502319335
2018-10-11,669.8847154617309
2018-10-12,660.5790560245514
2018-10-13,660.5790560245514
2018-10-14,660.5790560245514
2018-10-15,661.301685962677
2018-10-16,656.0376155090332
2018-10-17,651.0827317523956
2018-10-18,660.2667377471923
2018-10-19,663.8182379722595
2018-10-20,663.8182379722595
2018-10-21,663.8182379722595
2018-10-22,659.9071877479554
2018-10-23,650.829013710022
2018-10-24,640.6458681678772
2018-10-25,644.5042015075684
2018-10-26,646.8008251190186
